,text,Date,label
50,congratulations thomas perez named chairman dnc could happier republican party,02/25/2017,1
51,attending white house correspondents association dinner year please wish everyone well great evening,02/25/2017,1
52,weekly address,02/25/2017,0
53,great optimism future u business jobs dow th straight record close big tax regulation cuts coming,02/25/2017,1
54,media reported national debt first month went billion vs billion increase obama first mo,02/25/2017,1
55,maybe millions people voted make america great rally would biggest,02/25/2017,1
56,fake news media knowingly tell truth great danger country failing become joke likewise sad,02/25/2017,1
57,trump vows fight epidemic human trafficking,02/24/2017,0
58,going cpac,02/24/2017,1
59,find leakers within fbi classified information given media could devastating effect u find,02/24/2017,1
60,fbi totally unable stop national security leakers permeated government long time even,02/24/2017,1
61,big interview tonight henry kravis business council washington looking forward,02/24/2017,1
62,seven people shot killed yesterday chicago going totally control chicago needs help,02/24/2017,1
63,p edges higher trump renews jobs pledge,02/23/2017,0
64,much enjoyed tour smithsonian national museum african american history culture great job done amazing people,02/22/2017,1
65,one thing say rep keith ellison fight lead dnc one predicted early would win,02/22/2017,1
66,called angry crowds home districts republicans actually numerous cases planned liberal activists sad,02/21/2017,1
67,americans overwhelmingly oppose sanctuary cities,02/21/2017,0
68,congratulations new national security advisor general h r mcmaster video,02/21/2017,0
69,named general h r mcmaster national security advisor,02/20/2017,1
70,meeting generals mar lago florida interesting,02/20/2017,1
71,happy presidents day make america great,02/20/2017,1
72,give public break fake news media trying say large scale immigration sweden working beautifully,02/20/2017,1
73,statement happening sweden reference story broadcast concerning immigrants sweden,02/19/2017,1
74,getting ready leave melbourne florida see soon,02/18/2017,1
75,many meetings weekend southern white house big p speech melbourne florida lot talk,02/18/2017,1
76,believe main stream fake news media white house running well inherited mess process fixing,02/18/2017,1
77,looking forward florida rally tomorrow big crowd expected,02/18/2017,1
78,one effective press conferences ever seen says rush limbaugh many agree yet fake media calls differently dishonest,02/17/2017,1
79,fake news media failing enemy enemy american people,02/17/2017,1
80,fake news media failing many enemy enemy american people sick,02/17/2017,1
81,join watch,02/17/2017,0
82,general keith kellogg known long time much play nsa three others,02/17/2017,0
83,thank nice statements press conference yesterday rush limbaugh said one greatest ever fake media happy,02/17/2017,1
84,going charleston south carolina order spend time boeing talk jobs look forward,02/17/2017,1
85,despite long delays democrats finally approving dr tom price repeal replacement obamacare moving fast,02/17/2017,1
86,trump signs bill undoing obama coal mining rule,02/16/2017,0
87,democrats come story lost election badly made story russia fake news,02/16/2017,1
88,fake news media makes stories sources far effective discredited democrats fading fast,02/16/2017,1
89,spotlight finally put low life leakers caught,02/16/2017,1
90,leaking even illegal classified leaking big problem washington years failing others must apologize,02/16/2017,1
91,stock market hits new high longest winning streak decades great level confidence optimism even tax plan rollout,02/16/2017,1
92,venezuela allow leopoldo lopez political prisoner husband met w,02/15/2017,0
93,aetna ceo obamacare death spiral repealandreplace,02/15/2017,0
94,join florida saturday pm rally orlando melbourne international airport tickets,02/15/2017,0
95,welcome united states benjamin sara icymi joint press conference,02/15/2017,0
96,great listening session ceo retail industry leaders association morning,02/15/2017,0
97,real scandal classified information illegally given intelligence like candy un american,02/15/2017,1
98,crimea taken russia obama administration obama soft russia,02/15/2017,1
99,thank eli lake bloomberg view nsa fbi interfere politics serious situation usa,02/15/2017,1
100,information illegally given failing intelligence community nsa fbi like russia,02/15/2017,1
101,russian connection non sense merely attempt cover many mistakes made hillary clinton losing campaign,02/15/2017,1
102,fake news media going crazy conspiracy theories blind hatred unwatchable great,02/15/2017,1
103,obamacare continues fail humana pull repeal replace save healthcare americans,02/14/2017,0
104,remarks president trump signing h j resolution,02/14/2017,0
105,great parent teacher listening session morning pence secretary watch,02/14/2017,0
106,real story many illegal leaks coming washington leaks happening deal n korea etc,02/14/2017,1
107,congratulations new vasecretary dr david shulkin time take care veterans fought protect,02/14/2017,0
108,congratulations treasury secretary steven mnuchin icymi watch,02/14/2017,0
109,wonderful meeting canadian pm group leading ceo business women canada th,02/13/2017,0
110,welcome prime minister,02/13/2017,0
111,today meet canadian pm trudeau group leading business women discuss women workforce,02/13/2017,0
112,leaving florida big crowds enthusiastic supporters lining road fake news media refuses mention dishonest,02/12/2017,1
113,congratulations stephen miller representing morning various sunday morning shows great job,02/12/2017,0
114,know mark cuban well backed big time interested taking calls smart enough run president,02/12/2017,1
115,two days productive talks prime minister abe heading back japan l,02/12/2017,1
116,fake news bernie sanders cut using term fake news describe network said technical difficulties,02/12/2017,1
117,refugees admitted u court breakdown countries syria iraq somalia iran sudan libya yemen,02/12/2017,1
118,crackdown illegal criminals merely keeping campaign promise gang members drug dealers others removed,02/12/2017,1
119,icymi joint statement prime minister shinzo abe north korea,02/12/2017,0
120,working dinner tonight prime minister abe japan representatives winter white house mar lago good talks,02/11/2017,1
121,played golf today prime minister abe japan ernie els great time japan well represented,02/11/2017,0
122,playef golf today prime minister abe japan ernie els great time japan well represented,02/11/2017,1
123,proud daughter ivanka abused treated badly media still hold head high truly wonderful,02/11/2017,1
124,great time hosting prime minister shinzo abe united states,02/11/2017,0
125,melania hosting japanese prime minister shinzo abe mrs abe mar lago palm beach fla wonderful couple,02/11/2017,1
126,design negotiations yet like f fighterjet air force one program price come way,02/11/2017,1
127,reading great border wall cost government originally thought gotten involved,02/11/2017,1
128,legal system broken refugees allowed u since travel reprieve hail seven suspect countries wt dangerous,02/11/2017,1
129,heading joint base andrews marineone prime minister shinzo earlier today,02/10/2017,0
130,failing major fake news china story saying mr xi spoken mr trump since nov spoke length yesterday,02/10/2017,1
131,lawfare remarkably entire opinion panel bother even cite statute disgraceful decision,02/10/2017,1
132,see court security nation stake,02/09/2017,1
133,join us live oval office swearing new attorney general live,02/09/2017,0
134,ryan died winning mission according general mattis failure time u get smart start winning,02/09/2017,1
135,long know win anymore look mess country bogged conflict place hero,02/09/2017,1
136,sen mccain talking success failure mission media emboldens enemy losing,02/09/2017,1
137,chris cuomo interview sen blumenthal never asked long term lie brave service vietnam fake news,02/09/2017,1
138,sen richard blumenthal never fought vietnam said years major lie misrepresents judge gorsuch told,02/09/2017,1
139,congratulations new attorney general,02/09/2017,0
140,trump administration seen truthful news media,02/08/2017,0
141,majority leading eu nations support trump style travel ban poll people countries,02/08/2017,0
142,immigration ban one trump popular orders far,02/08/2017,0
143,thank brian krzanich ceo great investment billion american innovation jobs,02/08/2017,0
144,big increase traffic country certain areas people far vulnerable wait easy,02/08/2017,1
145,fake news stories reporters run since trump,02/08/2017,0
146,daughter ivanka treated unfairly great person always pushing right thing terrible,02/08/2017,0
147,thank great police chiefs sheriffs leadership service true friend,02/08/2017,0
148,speaking today police chiefs sheriffs discussing horrible dangerous wrong decision,02/08/2017,1
149,u win case obviously never security safety entitled politics,02/08/2017,1
150,disgrace full cabinet still place longest delay history country obstruction democrats,02/08/2017,1
151,honor national sheriffs assoc join incredible men women protect serv,02/07/2017,0
152,know putin deals russia haters going crazy yet obama make deal iran terror problem,02/07/2017,0
153,know putin deals russia haters going crazy yet obama make deal iran terror problem,02/07/2017,1
154,threat radical islamic terrorism real look happening europe middle east courts must act fast,02/07/2017,1
155,failing forced apologize subscribers poor reporting election win worse,02/07/2017,1
156,extended interview super bowl airs tonight p enjoy,02/06/2017,0
157,failing writes total fiction concerning gotten wrong two years making stories sources,02/06/2017,1
158,interviewed tonight p,02/06/2017,1
159,call shots largely based accumulation data everyone knows fake news media order marginalize lies,02/06/2017,1
160,negative polls fake news like cnn abc nbc polls election sorry people want border security extreme vetting,02/06/2017,1
161,amazing comeback win patriots tom brady bob kraft coach b total winners wow,02/06/2017,1
162,enjoy superbowl continue make america great,02/05/2017,1
163,interviewed p prior superbowl pre game show fox network enjoy,02/05/2017,1
164,instructed homeland security check people coming country carefully courts making job difficult,02/05/2017,1
165,cannot believe judge would put country peril something happens blame court system people pouring bad,02/05/2017,1
166,judge opens country potential terrorists others best interests heart bad people happy,02/05/2017,1
167,interview fox network p prior super bowl enjoy,02/05/2017,1
168,lawyers looking using federal court decision boston conflict ridiculous lift ban decision,02/04/2017,1
169,ban lifted judge many bad dangerous people may pouring country terrible decision,02/04/2017,1
170,country coming judge halt homeland security travel ban anyone even bad intentions come u,02/04/2017,1
171,make america great,02/04/2017,1
172,forced apologize bad inaccurate coverage winning election fake news still lost,02/04/2017,1
173,opinion called judge essentially takes law enforcement away country ridiculous overturned,02/04/2017,1
174,interesting certain middle eastern countries agree ban know certain people allowed death destruction,02/04/2017,1
175,country longer able say cannot come especially reasons safety security big trouble,02/04/2017,1
176,countries charge u companies taxes tariffs u charges nothing little charge charge us,02/04/2017,1
177,must keep evil country,02/03/2017,1
178,new radical islamic terrorist attacked louvre museum paris tourists locked france edge get smart u,02/03/2017,1
179,professional anarchists thugs paid protesters proving point millions people voted make america great,02/03/2017,1
180,meeting biggest business leaders morning good jobs coming back u health care tax bills crafted,02/03/2017,1
181,thank prime minister australia telling truth civil conversation fake news media lied nice,02/03/2017,1
182,iran playing fire appreciate kind president obama,02/03/2017,1
183,yes arnold schwarzenegger really bad job governor california even worse apprentice least tried hard,02/03/2017,1
184,thank would love,02/02/2017,0
185,iran last legs ready collapse u came along gave life line form iran deal billion,02/02/2017,1
186,iran formally put notice firing ballistic missile thankful terrible deal u made,02/02/2017,1
187,attending chief ryan owens dignified transfer yesterday daughter ivanka great honor great brave man thank,02/02/2017,1
188,congratulations rex tillerson sworn new secretary state star,02/02/2017,1
189,u c berkeley allow free speech practices violence innocent people different point view federal funds,02/02/2017,1
190,believe obama administration agreed take thousands illegal immigrants australia study dumb deal,02/02/2017,1
191,iran rapidly taking iraq even u squandered three trillion dollars obvious long ago,02/02/2017,1
192,everybody arguing whether ban call want keeping bad people bad intentions country,02/01/2017,1
193,hope like nomination judge neil gorsuch united states supreme court good brilliant man respected,02/01/2017,1
194,join live,02/01/2017,0
195,getting ready deliver important decision p,02/01/2017,1
196,democrats give us attorney general rest cabinet ashamed wonder c work,01/31/2017,1
197,nancy pelosi fake tears chuck schumer held rally steps supreme court mic work mess like dem party,01/31/2017,1
198,democrats delaying cabinet picks purely political reasons nothing going obstruct obama g,01/31/2017,1
199,american dream back going create environment small business like many,01/30/2017,0
200,outrage democrats opposition party media jobs fleeing country,01/30/2017,0
201,made decision nominate united states supreme court announced live tuesday p w h,01/30/2017,1
202,ban announced one week notice bad would rush country week lot bad dudes,01/30/2017,1
203,nothing nice searching terrorists enter country big part campaign study world,01/30/2017,1
204,protesters tears senator schumer secretary kelly said going well problems make america safe,01/30/2017,1
205,people detained held questioning big problems airports caused delta computer outage,01/30/2017,1
206,interviewed tonight pm enjoy,01/29/2017,0
207,statement regarding recent executive order concerning extreme vetting,01/29/2017,0
208,senators focus energies isis illegal immigration border security instead always looking start world war iii,01/29/2017,1
209,joint statement former presidential candidates john mccain lindsey graham wrong sadly weak immigration two,01/29/2017,1
210,christians middle east executed large numbers cannot allow horror continue,01/29/2017,1
211,country needs strong borders extreme vetting look happening europe indeed world horrible mess,01/29/2017,1
212,somebody aptitude conviction buy fake news failing either run correctly let fold dignity,01/29/2017,1
213,interviewed tonight pm enjoy,01/28/2017,0
214,today remember crew space shuttle challenger years later neverforget,01/28/2017,0
215,dwindling subscribers readers got wrong right beginning still changed course never dishonest,01/28/2017,1
216,thr coverage gas false angry times actually apologized,01/28/2017,1
217,failing wrong beginning said would lose primaries general election fake news,01/28/2017,1
218,promise administration always back always,01/27/2017,0
219,congratulations secretary mattis,01/27/2017,0
220,statement international holocaust remembrance day,01/27/2017,0
221,mike pence speaking today marchforlife full support,01/27/2017,0
222,marchforlife important marching full support,01/27/2017,0
223,mexico taken advantage u long enough massive trade deficits little help weak border must change,01/27/2017,1
224,look forward seeing final results votestand gregg phillips crew say least votes illegal must better,01/27/2017,1
225,miami dade mayor drops sanctuary policy right decision strong,01/26/2017,0
226,interviewed pm tonight enjoy,01/26/2017,0
227,spoke congressional retreat philadelphia pa afternoon w th,01/26/2017,0
228,spoke congressional retreat philadelphia pa afternoon w th,01/26/2017,0
229,jobs companies lost mexico unwilling pay badly needed wall would better cancel upcoming meeting,01/26/2017,1
230,u billion dollar trade deficit mexico one sided deal beginning nafta massive numbers,01/26/2017,1
231,ungrateful traitor chelsea manning never released prison calling president obama weak leader terrible,01/26/2017,1
232,interview david muir news minutes enjoy,01/26/2017,1
233,first interview since taking office tonight tonight,01/26/2017,1
234,president higher duty protect lives american people,01/26/2017,0
235,beginning today united states america gets back control borders full speech today,01/26/2017,0
236,interviewed tonight clock first interview white house,01/25/2017,0
237,making supreme court pick thursday next week thank,01/25/2017,1
238,even registered vote dead many long time depending results strengthen voting procedures,01/25/2017,1
239,asking major investigation voter fraud including registered vote two states illegal,01/25/2017,1
240,big day planned national security tomorrow among many things build wall,01/25/2017,1
241,chicago fix horrible carnage going shootings killings send feds,01/25/2017,1
242,congratulations number one inauguration ratings many times higher fake news public smart,01/25/2017,1
243,great meeting ford ceo mark fields general motors ceo mary barra today,01/25/2017,0
244,signing orders move forward construction keystone xl dakota access pipelines oval,01/24/2017,0
245,great meeting automobile industry leaders morning together maga,01/24/2017,0
246,photo delivered yesterday displayed upper lower press hall thank abbas,01/24/2017,0
247,meeting top automobile executives concerning jobs america want new plants built cars sold,01/24/2017,1
248,busy week planned heavy focus jobs national security top executives coming talk manufacturing america,01/23/2017,1
249,peaceful protests hallmark democracy even always agree recognize rights people express views,01/22/2017,1
250,wow television ratings million people watched inauguration million good ratings years ago,01/22/2017,1
251,watched protests yesterday impression election people vote celebs hurt cause badly,01/22/2017,1
252,great meeting cia headquarters yesterday packed house paid great respect wall long standing ovations amazing people win,01/22/2017,1
253,fantastic day evening washington c thank many news outlets great reviews speech,01/21/2017,1
254,thank another wonderful evening washington c together make america great,01/21/2017,0
255,americans,01/20/2017,0
256,americans every city near far small large mountain mountain,01/20/2017,0
257,time remember,01/20/2017,0
258,follow two simple rules buy american hire american inaugurationday maga,01/20/2017,0
259,bring back jobs bring back borders bring back wealth bring back dreams,01/20/2017,0
260,forgotten men women country forgotten longer moment going americafirst,01/20/2017,0
261,january th remembered day people became rulers nation,01/20/2017,0
262,truly matters party controls government whether government controlled people,01/20/2017,0
263,power washington c giving back american people inaugurationday,01/20/2017,0
264,today merely transferring power one administration another one party another transferring,01/20/2017,0
265,begins today see swearing movement continues work begins,01/20/2017,1
266,thank wonderful evening washington c inauguration,01/20/2017,0
267,thank joining us lincoln memorial tonight special evening together going make,01/20/2017,0
268,join pm lincoln memorial family inauguration,01/19/2017,0
269,great concert p today lincoln memorial enjoy,01/19/2017,1
270,way inauguration,01/19/2017,0
271,american people doubt together make america great,01/19/2017,1
272,getting ready leave washington c journey begins working fighting hard make great journey,01/19/2017,1
273,donald trump divided country country divided long time stated today reverend franklin graham,01/19/2017,1
274,thank amazing wounded warriors service honor tonight c,01/19/2017,0
275,great seeing kimberly evenings vp dinner godblesstheusa,01/19/2017,0
276,looking forward speedy recovery george barbara bush hospitalized thank wonderful letter,01/18/2017,0
277,writing inaugural address winter white house mar lago three weeks ago looking forward friday,01/18/2017,0
278,great last night c playing diplomats ambassadors countries around world thanks alabama,01/18/2017,1
279,wonder today show biased badly compared glorious past little credibility,01/18/2017,1
280,bayer ag pledged add u jobs investments meeting president elect donald trump latest string,01/18/2017,1
281,u nothing trump fake news ask top ceo companies real facts came back,01/18/2017,1
282,totally biased went way say big announcement ford g lockheed others jobs coming back,01/18/2017,1
283,interviewed enjoy,01/18/2017,1
284,thank general motors walmart starting big jobs push back u,01/17/2017,0
285,trump media missed,01/17/2017,0
286,thought would hypocritical attend bush swearing believe bush true elected president sound familiar wp,01/17/2017,1
287,john lewis said inauguration first one missed wrong lie boycotted bush also,01/17/2017,1
288,country massive cost reductions negotiated military purchases believe people seeing big stuff,01/17/2017,1
289,jobs bringing back u even taking office new auto plants coming back,01/17/2017,1
290,people phony election polls wrong approval rating polls rigged like,01/17/2017,1
291,people pouring washington record numbers bikers trump way great thursday friday saturday,01/17/2017,1
292,trump great woman real character class,01/17/2017,1
293,p places special report daughter ivanka considering cnn imagine great,01/17/2017,1
294,appreciate use twitter keep us informed maintain transparency dishonest media,01/17/2017,1
295,celebrate martin luther king day many wonderful things stood honor great man,01/16/2017,1
296,much worse look syria red line crimea ukraine build russian nukes good leaker fake news,01/16/2017,1
297,outgoing cia chief john brennan blasts pres elect trump russia threat fully understand oh really,01/16/2017,1
298,bad saturday night live worst nbc funny cast terrible always complete hit job really bad television,01/15/2017,1
299,intelligence chiefs made mistake people make mistakes apologize media also apologize,01/15/2017,1
300,thank bob woodward said garbage document never presented trump right upset angry,01/15/2017,1
301,many years country divided angry untrusting many say never change hatred deep change,01/15/2017,1
302,get higher car companies others want business country start making things win,01/15/2017,1
303,democrats angry many obama democrats voted jobs bringing back nation number,01/15/2017,1
304,inauguration day turning even bigger expected january th washington c fun,01/15/2017,1
305,congressman john lewis finally focus burning crime infested inner cities u use help get,01/15/2017,1
306,intelligence insiders claim trump dossier complete fraud,01/14/2017,1
307,mention crime infested rather falsely complaining election results talk talk talk action results sad,01/14/2017,1
308,congressman john lewis spend time fixing helping district horrible shape falling apart,01/14/2017,1
309,beautiful funeral today real nyc hero detective steven mcdonald law enforcement community complete total support,01/13/2017,0
310,unaffordable care act soon history,01/13/2017,1
311,allowed run guilty hell nice lost campaigned wrong states enthusiasm,01/13/2017,1
312,hillary clinton people complaining respect f b based information never,01/13/2017,1
313,released intelligence even knowing proof never people full report hacking within days,01/13/2017,1
314,totally made facts sleazebag political operatives democrats republicans fake news russia says nothing exists probably,01/13/2017,1
315,turns phony allegations put together political opponents failed spy afraid sued,01/13/2017,1
316,cabinet nominee looking good great job want express thoughts mine,01/13/2017,1
317,congrats senate taking first step repealobamacare onto house,01/12/2017,0
318,total meltdown fake news ratings tanking since election credibility soon gone,01/12/2017,1
319,thank linda bean l l bean great support courage people support even buy l l bean,01/12/2017,1
320,james clapper called yesterday denounce false fictitious report illegally circulated made phony facts bad,01/12/2017,1
321,morning america thank president elect donald trump proud thanks,01/12/2017,1
322,great news conference trump tower today couple fake news organizations people truly get going,01/12/2017,1
323,intelligence agencies never allowed fake news leak public one last shot living nazi germany,01/11/2017,1
324,win election easily great movement verified crooked opponents try belittle victory fake news sorry state,01/11/2017,1
325,russia never tried use leverage nothing russia deals loans nothing,01/11/2017,1
326,russia said unverified report paid political opponents complete total fabrication utter nonsense unfair,01/11/2017,1
327,buzzfeed runs unverifiable trump russia claims fakenews,01/11/2017,0
328,fake news total political witch hunt,01/11/2017,1
329,trump helps lift small business confidence yr high,01/10/2017,0
330,small business optimism soars trump election,01/10/2017,0
331,u small business optimism index surges since,01/10/2017,0
332,thank men women protect serve communities lawenforcementappreciationday,01/10/2017,0
333,old picture nancy ronald reagan,01/09/2017,0
334,ford said last week expand michigan u instead building billion dollar plant mexico thank ford fiat c,01/09/2017,1
335,finally happening fiat chrysler announced plans invest billion michigan ohio plants adding jobs,01/09/2017,1
336,groveling totally changed year old story written order make look bad dishonest media,01/09/2017,1
337,hillary flunky lost big th time never mocked disabled reporter would never simply showed,01/09/2017,1
338,meryl streep one rated actresses hollywood know attacked last night golden globes,01/09/2017,1
339,rupert murdoch great guy likes much better successful candidate ever successful developer,01/09/2017,1
340,dishonest media says mexico paying wall pay little later wall built quickly media fake,01/09/2017,1
341,anyone saw classified highly confidential hacking intelligence report leaked serious,01/08/2017,1
342,kellyanne conway went morning interview dishonest media cut minutes terrible,01/08/2017,1
343,certainly want intelligence interfering politics want politics interfe,01/08/2017,1
344,welcome president mrs bush nice,01/08/2017,1
345,look much forward meeting prime minister theresa may washington spring britain longtime u ally special,01/08/2017,1
346,congratulation jane timken major upset victory becoming ohio republican party chair jane loyal trump supporter star,01/07/2017,1
347,countries perhaps work together solve many great pressing problems issues world,01/07/2017,1
348,enough problems around world without yet another one president russia respect us far,01/07/2017,1
349,good relationship russia good thing bad thing stupid people fools would think bad,01/07/2017,1
350,reason hacking poorly defended dnc discussed loss dems big totally embarrassed,01/07/2017,1
351,intelligence stated strongly absolutely evidence hacking affected election results voting machines touched,01/07/2017,1
352,gross negligence democratic national committee allowed hacking take place republican national committee strong defense,01/07/2017,1
353,happy birthday,01/07/2017,0
354,monitoring terrible situation florida spoke governor scott thoughts prayers stay safe,01/06/2017,0
355,asking chairs house senate committees investigate top secret intelligence shared nbc prior seeing,01/06/2017,0
356,anna wintour came office trump tower ask meet editors conde nast steven newhouse friend go,01/06/2017,0
357,movie star season compared season compare season cares supported kasich hillary,01/06/2017,1
358,wow ratings arnold schwarzenegger got swamped destroyed comparison ratings machine djt much,01/06/2017,1
359,hopefully supporters want make america great go c january th great show,01/06/2017,1
360,knew big trouble cancelled big fireworks last minute saw movement like never,01/06/2017,1
361,hillary dems never going beat passion voters saw happening last two weeks,01/06/2017,1
362,dishonest media report money spent building great wall sake speed paid back mexico later,01/06/2017,1
363,sure hacking never even requested examination computer servers going,01/06/2017,1
364,democratic national committee would allow fbi study see computer info supposedly hacked russia,01/06/2017,1
365,nbc get exclusive look top secret report obama presented gave report politics,01/06/2017,1
366,toyota motor said build new plant baja mexico build corolla cars u way build plant u pay big border tax,01/05/2017,1
367,make minds truth media lies make look like intelligence fact big fan,01/05/2017,1
368,dishonest media likes saying agreement julian assange wrong simply state states people,01/05/2017,1
369,time republicans democrats get together come healthcare plan really works much less expensive far better,01/05/2017,1
370,typical political thing blame fact obamacare lie beginning keep doctor keep plan,01/05/2017,1
371,democrats lead head clown chuck schumer know bad obamacare mess instead working fix,01/05/2017,1
372,jackie evancho album sales skyrocketed announcing inauguration performance people understand movement,01/04/2017,0
373,massive increases obamacare take place year dems blame mess fall weight careful,01/04/2017,1
374,like hike arizona also deductibles high practically useless let schumer clowns web,01/04/2017,1
375,republicans must careful dems failed obamacare disaster poor coverage massive premium increases,01/04/2017,1
376,things said like giving questions debate h total double standard media usual gave pass,01/04/2017,1
377,somebody hacked dnc hacking defense like rnc responded terrible,01/04/2017,1
378,thank ford scrapping new plant mexico creating new jobs u beginning much follow,01/04/2017,1
379,julian assange u media coverage dishonest hannity dishonest anyone knows,01/04/2017,1
380,julian assange said year old could hacked podesta dnc careless also said russians give info,01/04/2017,1
381,intelligence briefing called russian hacking delayed friday perhaps time needed build case strange,01/04/2017,1
382,general news conference january eleventh n c thank,01/03/2017,1
383,trump already delivering jobs promised america,01/03/2017,0
384,releases gitmo extremely dangerous people allowed back onto battlefield,01/03/2017,1
385,instead driving jobs wealth away america become world great magnet innovation job creation,01/03/2017,0
386,ford scrap mexico plant invest michigan due trump policies,01/03/2017,0
387,may number one act priority focus tax reform healthcare many things far greater importance dts,01/03/2017,1
388,congress work really make weakening independent ethics watchdog unfair,01/03/2017,1
389,democrat governor minnesota said affordable care act obamacare longer affordable lousy healthcare,01/03/2017,1
390,people must remember obamacare work affordable increases arizona bill clinton called crazy,01/03/2017,1
391,general motors sending mexican made model chevy cruze u car dealers tax free across border make u pay big border tax,01/03/2017,1
392,china taking massive amounts money wealth u totally one sided trade help north korea nice,01/02/2017,1
393,north korea stated final stages developing nuclear weapon capable reaching parts u happen,01/02/2017,1
394,thought felt would win big easily fabled cancelled fireworks knew,01/02/2017,1
395,various media outlets pundits say thought going lose election wrong came together last week,01/02/2017,1
396,released book called unprecedented explores race victory hope well used worst cover photo,01/02/2017,1
397,chicago murder rate record setting shooting victims murders mayor must ask federal help,01/02/2017,1
398,well new year begins together make america great,01/02/2017,1
399,americans happynewyear many blessings looking forward wonderful prosperous,01/01/2017,0
400,happy birthday,12/31/2016,0
401,happy new year including many enemies fought lost badly know love,12/31/2016,1
402,russians playing fools funny watch clue totally gets,12/30/2016,1
403,join founded hall fame legend washington c,12/30/2016,0
404,great move delay v putin always knew smart,12/30/2016,1
405,administration follow two simple rules,12/29/2016,0
406,economists say trump delivered hope,12/28/2016,0
407,anymore beginning end horrible iran deal u n stay strong israel january th fast approaching,12/28/2016,1
408,cannot continue let israel treated total disdain disrespect used great friend u,12/28/2016,1
409,best disregard many inflammatory president statements roadblocks thought going smooth transition,12/28/2016,1
410,u consumer confidence index december surged nearly four points highest level years thanks donald,12/28/2016,1
411,president obama campaigned hard personally important swing states lost voters wanted make america great,12/27/2016,1
412,djt foundation unlike foundations never paid fees rent salaries expenses money goes wonderful charities,12/27/2016,1
413,gave millions dollars djt foundation raised recieved millions given charity media report,12/27/2016,1
414,world gloomy hope market nearly christmas spending trillion dollars,12/26/2016,0
415,united nations great potential right club people get together talk good time sad,12/26/2016,1
416,president obama said thinks would say say way jobs leaving isis ocare etc,12/26/2016,1
